,제품,제품특성,ID,대분류,중분류,소분류,브랜드
0,B002-02785-00001,"종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:무색소 특징:파워엠보싱 길이:30m :1팩, 종류:갑티슈 매수:250매 겹수:2겹 특징:천연펄프 :1팩 3겹 천연펄프 화장지 30m",11784,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02785
1,B002-02481-00001,"종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무형광 특징:무인쇄 특징:데코엠보싱 길이:30m :1팩, 종류:두루마리 겹수:3겹 롤수:36롤 특징:천연펄프 특징:무향 특징:무형광 특징:무인쇄 특징:마이크로엠보싱 특징:무포름 길이:40m :1팩 30m",10808,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02481
2,B002-03786-00002,"종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:무포름 길이:30m :1팩, 종류:두루마리 겹수:2겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:무포름 길이:40m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무형광 특징:데코엠보싱 특징:무포름 길이:20m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무형광 특징:무색소 특징:무포름 길이:33m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무형광 특징:무색소 특징:데코엠보싱 길이:25m :1팩 3겹 데코 30m",15788,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-03786
3,B002-02650-00001,종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:데코엠보싱 특징:무포름 길이:30m :1팩 3겹 30롤,11403,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02650
4,B002-02650-00002,"종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무형광 특징:데코엠보싱 길이:30m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무인쇄 특징:데코엠보싱 길이:25m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:데코엠보싱 길이:30m :1팩, 종류:두루마리 겹수:4겹 롤수:30롤 특징:천연펄프 길이:30m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 길이:27m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:데코엠보싱 특징:무포름 길이:30m :1팩, 종류:키친타월 매수:100매 겹수:2겹 롤수:6롤 특징:천연펄프 특징:무형광 :1팩, 종류:갑티슈 매수:180매 겹수:2겹 특징:천연펄프 특징:무향 특징:무형광 특징:무인쇄 특징:데코엠보싱 :1팩, 종류:갑티슈 매수:200매 겹수:2겹 특징:천연펄프 특징:무향 특징:무형광 특징:무인쇄 특징:데코엠보싱 :1팩, 종류:키친타월 매수:130매 겹수:2겹 특징:천연펄프 특징:무형광 :2팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:마이크로엠보싱 특징:데코엠보싱 길이:22m :1팩, 종류:갑티슈 매수:250매 겹수:2겹 특징:천연펄프 특징:무향 특징:무형광 특징:무인쇄 특징:데코엠보싱 :3팩 3겹 30m",11404,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02650
5,B002-02650-00003,"종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:데코엠보싱 길이:30m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무형광 특징:데코엠보싱 특징:무포름 길이:30m :1팩, 종류:키친타월 매수:130매 겹수:2겹 특징:천연펄프 특징:무형광 :2팩 3겹 30롤",11405,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02650
6,B002-02525-00002,"겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무형광 특징:무색소 길이:15m :1팩, 종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:데코엠보싱 길이:18m :1팩, 종류:키친타월 매수:150매 겹수:2겹 롤수:8롤 특징:천연펄프 특징:무형광 :1팩, 종류:갑티슈 매수:200매 겹수:2겹 특징:천연펄프 특징:무향 특징:무색소 사이즈:일반 :1팩 3겹 15m x 30롤",10995,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02525
7,B002-02525-00003,종류:두루마리 겹수:3겹 롤수:30롤 특징:천연펄프 특징:무향 특징:무색소 특징:데코엠보싱 길이:25m :1팩 14m,10996,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02525
8,B002-02525-00005,"매수:100매 특징:저자극 정수과정:10단계정수 :10팩, 매수:100매 특징:저자극 정수과정:10단계정수 :10팩 14m",10998,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-02525
9,B002-00656-00001,겹수롤수길이:2겹 3겹,2614,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-00656
10,B002-01138-00002,"겹수롤수길이:1겹, 겹수롤수길이:2겹, 겹수롤수길이:2겹, 겹수롤수길이:2겹, 겹수롤수길이:2겹 300m",4677,B002-C001-0002,B002-C002-0005,B002-C003-0024,B002-01138
