,제품,제품특성,ID,대분류,중분류,소분류,브랜드
0,B002-01475-00003,최소연령:신생아 단계별:1단계 포장형태:캔 제품형태:분말 용량:800g 출시년도:2020년도 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:성장발육 기능:면역강화 사용연령:0개월~첫돌 :1개 800g,5861,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-01475
1,B002-01475-00004,"최소연령:신생아 단계별:1단계 포장형태:캔 제품형태:분말 용량:800g 출시년도:2020년도 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:성장발육 기능:면역강화 사용연령:태어나서부터 :1개, 최소연령:신생아 포장형태:캔 제품형태:분말 용량:800g 기능:소화촉진 기능:성장발육 :2개, 최소연령:신생아 포장형태:캔 제품형태:분말 용량:800g 분유성분:타우린 :1개, 최소연령:신생아 포장형태:캔 제품형태:분말 용량:800g :1개 800g",5862,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-01475
2,B002-01475-00005,"최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:DHA 분유성분:프로바이오틱스 유형:성장기용조제식 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:12~36개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제분유 기능:성장발육 기능:면역강화 사용연령:0~6개월 :1개, 최소연령:신생아 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:아라키돈산 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제분유 기능:성장발육 기능:면역강화 사용연령:6~12개월 :1개 1단계 800g",5863,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-01475
3,B002-01475-00007,최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:DHA 분유성분:프로바이오틱스 유형:성장기용조제식 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:12~36개월 :1개 3단계 800g,5865,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-01475
4,B002-01264-00001,"최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제식 기능:두뇌발달 기능:시력발달 사용연령:12~36개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제분유 기능:두뇌발달 사용연령:6~12개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:조제분유 기능:두뇌발달 사용연령:0~6개월 :1개 1단계 800g",5236,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-01264
5,B002-00867-00001,"최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 유형:조제분유 기능:두뇌발달 기능:성장발육 기능:설사개선 사용연령:0~6개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:아라키돈산 분유성분:DHA 분유성분:루테인 분유성분:타우린 유형:조제분유 사용연령:태어나서~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:아라키돈산 분유성분:DHA 분유성분:루테인 분유성분:타우린 유형:성장기용조제식 사용연령:6~12개월 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:아라키돈산 분유성분:DHA 분유성분:루테인 분유성분:타우린 유형:성장기용조제식 사용연령:1~3세 :1개, 최소연령:36개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:DHA 분유성분:프로바이오틱스 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:시력발달 사용연령:36개월부터 :1개 1단계 800g",3735,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-00867
6,B002-03528-00001,"최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 유형:조제분유 인증:유기농인증 사용연령:0~6개월 :1개, 최소연령:6개월 단계별:2단계 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 유형:조제분유 인증:유기농인증 사용연령:6~12개월 :1개, 최소연령:12개월 단계별:3단계 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 유형:조제분유 인증:유기농인증 사용연령:12개월부터 :1개, 최소연령:신생아 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 인증:유기농인증 기능:소화촉진 사용연령:신생아부터 :1개, 최소연령:신생아 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 분유성분:DHA 사용연령:신생아~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:6개월부터 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:6개월부터 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 분유성분:아라키돈산 분유성분:DHA 사용연령:신생아~6개월 :4개, 최소연령:24개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:24개월부터 :1개, 최소연령:12개월 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:12개월부터 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:6개월이상 :1개, 최소연령:10개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 분유성분:DHA 기능:소화촉진 기능:두뇌발달 기능:시력발달 사용연령:10개월이상 :1개, 최소연령:신생아 종류:일반분유 제품형태:액상 포장형태:병 용량:200ml :12개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g :1개, 최소연령:신생아 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g :6개 1단계 800g",14881,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-03528
7,B002-00875-00001,"최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:6개월~첫돌 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:태어나서~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 사용연령:6개월~첫돌 :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 유형:성장기용조제식 사용연령:백일~6개월 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:첫돌~24개월 :1개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 기능:소화촉진 기능:두뇌발달 기능:성장발육 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:병 용량:750g 기능:소화촉진 기능:두뇌발달 기능:성장발육 :4개 3단계 750g",3786,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-00875
8,B002-01715-00001,"최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 기능:두뇌발달 사용연령:태어나서~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:두뇌발달 사용연령:6개월~첫돌 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:액상 포장형태:병 용량:160ml 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 사용연령:0~6개월 :6개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240ml 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 기능:두뇌발달 기능:성장발육 사용연령:6~12개월 :6개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:400g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 기능:두뇌발달 사용연령:태어나서~6개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 사용연령:태어나서~6개월 :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:백일~6개월 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:두뇌발달 사용연령:첫돌~24개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 사용연령:6개월~첫돌 :1개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:첫돌~24개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:태어나서~백일 :1개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:6개월~첫돌 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:400g 분유성분:DHA 기능:두뇌발달 사용연령:태어나서~백일 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 기능:두뇌발달 기능:성장발육 사용연령:12~24개월 :6개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:액상 포장형태:병 용량:160ml 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:0~6개월 :6개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:6~12개월 :6개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 분유성분:DHA 기능:두뇌발달 사용연령:태어나서~백일 :1개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:12~24개월 :6개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 기능:두뇌발달 :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 기능:두뇌발달 :1개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 기능:두뇌발달 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 사용연령:첫돌~24개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g :1개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2017년도 기능:소화촉진 :1개 1단계 800g",7021,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-01715
9,B002-01715-00005,"최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:액상 포장형태:병 용량:160ml 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 사용연령:0~6개월 :6개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240ml 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 기능:두뇌발달 기능:성장발육 사용연령:6~12개월 :6개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 기능:두뇌발달 기능:성장발육 사용연령:12~24개월 :6개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:액상 포장형태:병 용량:160ml 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:0~6개월 :6개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:12~24개월 :6개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:액상 포장형태:병 용량:240g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:6~12개월 :6개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 기능:두뇌발달 사용연령:태어나서~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:두뇌발달 사용연령:6개월~첫돌 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 사용연령:태어나서~6개월 :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:백일~6개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:400g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 기능:두뇌발달 사용연령:태어나서~6개월 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:두뇌발달 사용연령:첫돌~24개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:태어나서~백일 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 사용연령:6개월~첫돌 :1개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:6개월~첫돌 :1개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 기능:두뇌발달 기능:성장발육 사용연령:첫돌~24개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:400g 분유성분:DHA 기능:두뇌발달 사용연령:태어나서~백일 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:조제분유 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 인증:HACCP인증 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 사용연령:첫돌~24개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 분유성분:DHA 기능:두뇌발달 사용연령:태어나서~백일 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g :1개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2017년도 기능:소화촉진 :1개, 최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 기능:두뇌발달 :1개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 기능:두뇌발달 :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:스틱 용량:280g 기능:두뇌발달 :1개 1단계 160ml",7025,B002-C001-0001,B002-C002-0009,B002-C003-0051,B002-01715
