,제품,제품특성,ID,대분류,중분류,소분류,브랜드
0,B002-02246-00003,두피타입:모든두피용 모발타입:모든 모발용 타입:일반샴푸 제품형태:펌프형 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:촉촉함(수분공급) 용량:500ml(g) 구성:본품 향계열:기타향 :1개 500ml,9575,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-02246
1,B002-02246-00004,"두피타입:모든두피용 모발타입:모든 모발용 모발타입:가는 모발용 타입:탈모샴푸 타입:비듬샴푸 타입:두피샴푸 제품형태:펌프형 주요제품특징:저자극 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:각질케어 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:모근강화 용량:500ml(g) 구성:본품 향계열:플로럴향 종류:샴푸 기능성인증:탈모증상완화도움 :1개, 세트구성:샴푸 세트구성:트리트먼트 주요제품특징:향 주요제품특징:촉촉함(수분공급) :1개, 세트구성:샴푸 세트구성:트리트먼트 세트구성:헤어에센스 주요제품특징:머릿결개선 주요제품특징:향 주요제품특징:촉촉함(수분공급) :1개, 세트구성:샴푸 세트구성:헤어에센스 주요제품특징:머릿결개선 주요제품특징:향 주요제품특징:촉촉함(수분공급) 500ml",9576,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-02246
2,B002-03117-00001,"두피타입:모든두피용 모발타입:모든 모발용 타입:천연샴푸 타입:두피샴푸 제품형태:펌프형 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:모발영양 용량:500ml(g) 구성:본품 향계열:무향 :1개, 세트구성:샴푸 세트구성:트리트먼트 주요제품특징:머릿결개선 주요제품특징:촉촉함(수분공급) :1개, 세트구성:샴푸 세트구성:트리트먼트 세트구성:헤어에센스 주요제품특징:머릿결개선 주요제품특징:촉촉함(수분공급) :1개, 세트구성:샴푸 세트구성:헤어에센스 주요제품특징:머릿결개선 주요제품특징:향 주요제품특징:촉촉함(수분공급) :1개, 세트구성:샴푸 세트구성:트리트먼트 세트구성:헤어에센스 주요제품특징:머릿결개선 주요제품특징:향 주요제품특징:촉촉함(수분공급) 500ml",13201,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-03117
3,B002-03117-00002,두피타입:지성 두피타입:중성 모발타입:모든 모발용 타입:천연샴푸 타입:비듬샴푸 타입:두피샴푸 제품형태:펌프형 주요제품특징:머릿결개선 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:트러블케어 세부제품특징:유분제거 세부제품특징:청량감 세부제품특징:모발영양 용량:500ml(g) 구성:본품 향계열:기타향 :1개 500ml,13202,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-03117
4,B002-03117-00003,"두피타입:모든두피용 모발타입:모든 모발용 타입:천연샴푸 타입:비듬샴푸 타입:두피샴푸 제품형태:펌프형 주요제품특징:머릿결개선 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:저자극 세부제품특징:촉촉함(수분공급) 세부제품특징:유분제거 세부제품특징:모발영양 용량:500ml(g) 구성:본품 향계열:무향 :1개, 세트구성:샴푸 세트구성:트리트먼트 주요제품특징:머릿결개선 주요제품특징:촉촉함(수분공급) :1개 500ml",13203,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-03117
5,B002-00937-00001,"타입:일반샴푸 타입:비듬샴푸 타입:두피샴푸 제품형태:펌프형 주요제품특징:세정력 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:청량감 세부제품특징:실리콘 프리 세부제품특징:비듬케어 용량:700ml(g) 구성:본품 :1개, 타입:일반샴푸 타입:두피샴푸 주요제품특징:세정력 세부제품특징:모발영양 :1개 700ml",4087,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00937
6,B002-00937-00002,타입:일반샴푸 타입:비듬샴푸 타입:두피샴푸 제품형태:펌프형 주요제품특징:세정력 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:청량감 세부제품특징:실리콘 프리 세부제품특징:비듬케어 용량:700ml(g) 구성:본품 :1개 700ml,4088,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00937
7,B002-02446-00001,"두피타입:모든두피용 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:저자극 세부제품특징:각질케어 세부제품특징:청량감 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:약산성 용량:200ml(g) 향계열:기타향 :1개, 용량:100ml(g) :1개, 주요제품특징:저자극 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:풍부한 거품 세부제품특징:머릿결개선 용량:250ml(g) :1개 7 캡슐 샴푸 400ml",10550,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-02446
8,B002-02446-00002,"타입:일반샴푸 제품형태:펌프형 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 용량:300ml(g) 구성:본품 향계열:기타향 :1개, 타입:일반샴푸 제품형태:펌프형 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:볼륨효과 용량:300ml(g) 구성:본품 :1개, 타입:탈모샴푸 제품형태:펌프형 주요제품특징:저자극 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:촉촉함(수분공급) 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:풍부한 거품 세부제품특징:모근강화 용량:400ml(g) :1개, 타입:탈모샴푸 제품형태:펌프형 주요제품특징:저자극 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:촉촉함(수분공급) 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:모근강화 용량:400ml(g) :1개, 세트구성:샴푸 세트구성:트리트먼트 주요제품특징:머릿결개선 주요제품특징:향 주요제품특징:촉촉함(수분공급) :1개, 타입:탈모샴푸 주요제품특징:탈모케어 세부제품특징:촉촉함(수분공급) 용량:75ml(g) 300ml",10551,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-02446
9,B002-02446-00003,"타입:탈모샴푸 제품형태:펌프형 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:각질케어 세부제품특징:실리콘 프리 세부제품특징:두피케어 세부제품특징:비듬케어 용량:400ml(g) :1개, 타입:일반샴푸 제품형태:펌프형 세부제품특징:비듬케어 용량:400ml(g) :1개, 제품형태:펌프형 주요제품특징:세정력 세부제품특징:각질케어 세부제품특징:비듬케어 용량:400ml(g) 구성:본품 향계열:시트러스향 :1개, 타입:탈모샴푸 타입:비듬샴푸 제품형태:펌프형 주요제품특징:머릿결개선 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:트러블케어 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:볼륨효과 향계열:플로럴향 향계열:머스크향 :1개, 두피타입:모든두피용 모발타입:모든 모발용 타입:탈모샴푸 제품형태:펌프형 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:청량감 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:약산성 용량:400ml(g) 구성:본품 향계열:그린향 :1개, 타입:일반샴푸 제품형태:펌프형 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:청량감 세부제품특징:비듬케어 세부제품특징:약산성 :1개, 타입:일반샴푸 제품형태:젤형 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:약산성 세부제품특징:모발영양 세부제품특징:모발윤기 용량:400ml(g) 구성:본품 향계열:기타향 :1개, 두피타입:모든두피용 모발타입:모든 모발용 타입:탈모샴푸 제품형태:펌프형 주요제품특징:머릿결개선 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:저자극 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:비듬케어 용량:400ml(g) 구성:본품 :1개, 타입:일반샴푸 주요제품특징:풍부한 거품 세부제품특징:각질케어 세부제품특징:청량감 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:약산성 구성:본품+리필 향계열:기타향 :1개, 두피타입:모든두피용 모발타입:모든 모발용 타입:일반샴푸 제품형태:펌프형 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:계면활성제 프리 세부제품특징:비듬케어 용량:700ml(g) 구성:본품 향계열:무향 :1개, 두피타입:모든두피용 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:저자극 세부제품특징:각질케어 세부제품특징:청량감 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:약산성 용량:200ml(g) 향계열:기타향 :1개, 두피타입:모든두피용 모발타입:모든 모발용 타입:샴푸바 주요제품특징:머릿결개선 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:저자극 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:비듬케어 세부제품특징:약산성 세부제품특징:모발영양 용량:100ml(g) 구성:본품 향계열:그린향 :1개, 타입:탈모샴푸 타입:두피샴푸 주요제품특징:머릿결개선 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:저자극 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:비듬케어 세부제품특징:볼륨효과 세부제품특징:모근강화 용량:750ml(g) :1개, 두피타입:모든두피용 모발타입:모든 모발용 제품형태:펌프형 주요제품특징:세정력 세부제품특징:트러블케어 세부제품특징:각질케어 세부제품특징:비듬케어 용량:350ml(g) 구성:본품 :1개, 제품형태:젤형 주요제품특징:세정력 주요제품특징:풍부한 거품 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 향계열:기타향 :1개, 두피타입:모든두피용 모발타입:모든 모발용 제품형태:펌프형 주요제품특징:세정력 세부제품특징:각질케어 세부제품특징:비듬케어 용량:350ml(g) 구성:본품 :1개, 피부타입:모든피부용 향계열:기타향 주요제품특징:세정력 세부제품특징:트러블케어 세부제품특징:각질케어 용기형태:펌프형 용량:300ml(g) :1개, 두피타입:모든두피용 모발타입:모든 모발용 타입:탈모샴푸 제품형태:펌프형 주요제품특징:탈모케어 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:두피케어 세부제품특징:비듬케어 용량:400ml(g) 구성:본품 향계열:기타향 :1개, 타입:탈모샴푸 제품형태:펌프형 주요제품특징:저자극 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:청량감 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:풍부한 거품 세부제품특징:약산성 세부제품특징:모근강화 용량:300ml(g) :1개, 타입:탈모샴푸 주요제품특징:탈모케어 세부제품특징:상쾌함 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:청량감 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:풍부한 거품 세부제품특징:모근강화 용량:180ml(g) 향계열:기타향 :1개, 타입:탈모샴푸 제품형태:펌프형 주요제품특징:탈모케어 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:청량감 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:풍부한 거품 세부제품특징:약산성 향계열:기타향 :1개, 타입:탈모샴푸 주요제품특징:저자극 주요제품특징:탈모케어 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:계면활성제 프리 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:풍부한 거품 용량:280ml(g) :1개, 타입:탈모샴푸 제품형태:펌프형 주요제품특징:탈모케어 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 :1개, 타입:탈모샴푸 제품형태:펌프형 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:촉촉함(수분공급) 세부제품특징:트러블케어 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:계면활성제 프리 세부제품특징:파라벤 프리 세부제품특징:실리콘 프리 세부제품특징:비듬케어 세부제품특징:머릿결개선 용량:385ml(g) :1개, 주요제품특징:저자극 주요제품특징:세정력 주요제품특징:탈모케어 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:두피케어 세부제품특징:비듬케어 세부제품특징:풍부한 거품 세부제품특징:머릿결개선 용량:250ml(g) :1개, 타입:탈모샴푸 주요제품특징:탈모케어 세부제품특징:상쾌함 세부제품특징:촉촉함(수분공급) 세부제품특징:각질케어 세부제품특징:유분제거 세부제품특징:청량감 세부제품특징:실리콘 프리 세부제품특징:비듬케어 용량:180ml(g) :1개 400ml",10552,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-02446
