제품,제품특성,ID,대분류,중분류,소분류,브랜드,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04
B002-01436-00001,"형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :2개, 형태:액체형 고정방식:비치형, 형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :1개, 형태:액체형 고정방식:비치형 :1개 105ml",5752,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-01436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,2,2,0,0,0,0,0,0,0,1,2,2,4,4,6,3,3,1,2,2,6,5,4,0,0,0,2,3,3,3,2,0,0,0,0,0,8,5,5,6,6,6,6,3,4,6,6,5,3,8,9,8,9,45,51,44,32,40,42,36,45,31,27,27,33,37,36,34,26,27,18,17,17,22,42,41,31,31,31,31,32,35,40,48,35,34,49,49,54,64,43,34,24,22,45,60,62,48,39,34,33,37,41,38,36,32,29,30,32,39,43,52,54,44,36,34,44,58,53,42,25,28,45,63,73,71,61,43,42,55,61,56,36,22,20,22,39,64,70,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,27,31,28,29,23,20,16,23,25,24,16,10,10,12,29,30,32,19,18,17,17,19,15,14,9,8,7,9,18,22,24,26,25,23,23,26,29,25,25,21,21,23,25,23,27,27,31,16,21,18,19,19,15,14,20,28,24,25,25,20,18,20,25,26,18,16,11,13,18,15,17,17,14,15,16,19,27,33,32,23,20,19,28,36,34,22,20,18,15,17,21,18,24,29,30,23,15,15,27,62,36,52,14,10,6,6,15,20,24,26,23,22,18,25,27,25,25,9,34,38,40,33,25,26,26,41,43,60,65,52,58,42,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,4,6,10,0
B002-01436-00002,형태:액체형 고정방식:비치형 :1개 110ml,5753,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-01436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-01436-00003,형태:액체형 고정방식:비치형 :1개 100ml,5754,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-01436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,14,16,16,18,12,14,7,4,4,10,14,15,5,28,397,5,216,31,11,13,14,17,16,12,11,9,13,10,9,6,14,14,17,11,10,7,15,19,19,37,32,32,14,6,6,11,9,9,6,6,7,7,7,7,10,17,16,17,16,21,18,12,7,10,14,17,24,26,29,22,20,20,28,38,29,22,18,11,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,4,2,8,6,4,4,0,5,5,5,5,5,10,8,8,4,3,4,3,4,4,5,3,2,2,1,2,2,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-01436-00004,"형태:액체형 고정방식:선바이저클립 :1개, 형태:액체형 고정방식:선바이저클립 :1개, 형태:액체형 고정방식:선바이저클립 :1개, 형태:액체형 고정방식:선바이저클립 :1개, 형태:액체형 고정방식:선바이저클립 ",5755,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-01436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,18,13,14,16,16,12,19,18,16,14,7,8,10,12,12,15,16,13,7,15,25,64,59,50,20,31,27,16,16,11,10,23,37,37,27,21,25,19,26,33,35,21,19,20,20,22,32,35,34,28,29,42,31,38,27,60,63,60,32,29,44,43,55,43,29,29,34,45,46,38,118,118,105,73,91,91,90,96,81,77,87,123,170,144,97,78,31,26,44,78,93,93,60,73,54,82,101,103,98,55,51,45,64,99,112,109,77,77,81,85,90,133,128,105,98,108,149,163,169,164,142,123,114,133,148,154,127,125,103,89,86,128,152,147,109,100,105,103,133,142,147,122,133,150,152,126,45,49,48,35,35,26,32,53,45,35,49,30,44,53,38,31,41,38,33,37,47,48,40,30,24,26,47,53,51,27,23,25,27,26,41,42,40,39,36,28,25,32,40,38,36,27,27,26,27,48,42,39,31,40,55,67,74,66,57,62,43,45,33,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,7,14,15,10,1,0,3,7,13,10,9,9,14,12,9,5,5,3,8,7,8,1,0,5,5,8,6,5,10,17,17,10,5,5,5,10,17,9,9,18,24,21,18,18,10,7,39,42,51,21,6,6,21,49,36,50,22,7,10,10,13,1,2,4,7,6,4,12,16,18,9,2,1,0,3,3,3,0,0,1,1,1,1,1,1,2,1,4,6,6,6,0,0,0,0,1,2,3,12,12,10,0,0,0,0,0,0,0,0,1,1,2,2,3,1,6,6,5,0,1,1,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-00722-00002,"형태:액체형 :1개, 형태:액체형 :1개 6g",3031,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-00722-00003,"형태:액체형 :1개, 형태:액체형 :1개 ",3032,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,24,18,6,5,11,24,49,63,66,30,79,95,66,41,63,47,51,33,46,51,74,113,27,47,55,41,49,60,66,76,73,48,61,74,85,0,76,73,54,2,117,95,68,60,11,11,10,18,19,57,53,30,17,14,4,18,2,4,14,3,11,0,2,6,76,4,12,3,2,12,5,6,2,3,7,8,20,5,5,2,6,12,8,13,7,5,1,1,4,11,13,14,1,1,2,1,19,0,1,0,0,0,0,0,1,1,1,1,1,1,2,7,2,2,0,3,4,3,6,15,6,14,11,14,7,5,5,10,5,12,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-00722-00004,형태:액체형 :1개 300ml,3033,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-00722-00006,"구성:리필 :1개, 구성:리필 용량:1.3L :1개, 구성:리필 용량:1.3L :1개 ",3035,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,47,41,20,15,15,35,37,37,19,16,1,1,20,28,36,32,32,24,14,9,13,9,10,5,9,16,16,11,11,18,16,11,8,13,27,29,23,16,12,18,39,37,26,14,14,2,15,17,9,9,19,19,16,6,6,6,14,14,18,18,10,30,23,3,3,5,9,5,13,10,18,11,13,9,12,12,11,4,3,1,1,0,7,7,7,0,0,0,0,0,4,4,15,15,11,3,4,4,6,6,4,6,26,37,35,24,31,37,33,24,28,30,27,25,14,8,7,19,29,34,28,18,19,22,25,17,21,28,21,10,13,15,19,18,11,8,6,6,9,9,12,28,26,23,13,20,27,27,18,17,19,18,12,18,10,12,7,5,5,2,6,4,4,6,11,17,15,12,7,7,2,0,18,18,26,12,20,12,15,7,7,7,21,17,17,11,9,12,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,1,0,1,1,2,11,14,13,3,1,4,8,8,5,0,0,2,4,7,8,7,4,2,4,7,8,5,5,14,14,13,7,20,16,25,7,4,9,16,18,26,26,25,22,19,20,29,27,13,0,2,6,6,6,5,3,1,0,3,3,6,0,0,0,0,0,0,0,5,11,11,11,3,3,12,14,14,0,5,11,11,12,6,12,11,12,2,5,5,7,8,8,7,7,6,9,7,7,7,7,0,0,12,12,12,8,11,21,25,22,6,4,7,7,2,0,2,2,5,5,4,10,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-01156-00022,형태:고체형 고정방식:비치형 :1개 360 2세대 + 리필 1,4848,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-01156,0,0,0,0,6,8,8,6,5,6,5,5,4,4,5,4,6,5,5,3,2,5,5,3,3,3,3,3,2,2,2,3,3,3,3,2,1,1,2,3,3,2,4,4,4,0,4,7,7,7,8,5,5,4,6,6,7,5,5,6,6,9,7,7,4,5,6,6,7,6,6,8,15,15,25,25,29,27,14,14,8,5,5,3,5,4,3,3,2,3,2,3,3,3,3,3,5,5,4,3,4,4,4,4,4,5,4,4,3,3,5,6,6,5,2,3,7,8,8,6,5,5,5,4,3,1,2,1,4,3,4,3,6,6,7,4,2,0,2,4,5,4,4,3,3,3,3,5,5,4,3,4,4,4,4,3,3,5,6,6,8,10,9,10,9,9,8,11,15,16,13,8,13,17,25,27,22,22,18,14,11,7,8,13,13,13,14,18,24,22,25,23,19,23,28,33,23,23,19,15,11,12,11,10,10,8,9,14,16,22,21,19,14,7,9,14,18,18,17,14,11,10,12,8,5,3,3,1,2,3,4,3,1,2,2,2,3,5,4,4,3,4,4,9,12,10,10,8,10,6,7,6,4,2,1,1,1,3,5,4,5,4,4,5,13,19,9,9,4,4,5,8,14,14,11,6,7,8,8,8,9,9,10,5,4,8,13,16,12,9,9,13,11,10,8,6,6,4,4,8,13,14,16,10,8,5,7,12,13,12,7,8,7,5,5,6,6,4,4,7,10,5,6,6,4,4,5,6,8,8,8,7,8,9,8,8,6,3,4,4,4,9,9,10,12,8,6,4,8,7,8,6,4,4,2,5,5,7,4,4,5,5,4,8,6,6,3,3,4,5,8,6,5,1,6,7,8,9,6,6,5,4,4,5,4,6,6,6,2,2,3,3,3,4,4,2,2,4,6,6,5,4,2,1,1,1,4,4,4,1,5,5,5,4,5,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,2,6,1
B002-00232-00001,"형태:액체형 고정방식:송풍구클립, 형태:액체형 고정방식:송풍구클립 ",830,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,0,1,2,3,2,1,2,1,2,2,3,3,2,1,2,4,3,3,3,3,3,5,6,6,4,3,4,3,3,3,4,8,9,8,6,4,4,6,10,10,10,8,7,8,7,7,7,5,8,12,13,14,13,12,8,8,8,11,12,13,13,10,11,9,10,8,10,9,7,8,10,14,13,11,10,9,10,10,17,16,19,13,11,9,6,13,16,15,11,25,29,28,10,9,9,11,9,15,15,14,5,4,5,7,7,6,12,10,14,10,9,6,9,8,11,12,10,11,9,10,7,9,8,6,3,4,7,8,7,10,11,11,13,13,11,7,3,7,6,6,7,13,15,10,8,8,8,6,2,4,5,5,4,6,7,7,9,10,10,7,6,5,5,4,4,8,12,12,8,7,9,12,10,14,10,11,4,6,6,6,8,6,7,6,5,4,4,3,7,7,9,6,7,13,13,11,4,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,2,3,3,3,2,3,2,2,2,12,12,13,4,4,3,2,1,0,0,0,1,1,1,1,0,0,1,3,1,1,1,12,0,1,3,1,1,3,2,4,4,3,4,5,3,2,1,3,4,4,3,4,5,5,4,4,2,3,5,6,4,1,1,0,1,3,3,3,3,4,4,2,1,13,5,6,6,2,3,3,3,11,7,5,3,8,8,4,3,4,9,10,8,3,3,4,4,4,3,3,2,3,4,3,2,2,2,3,3,3,5,7,7,5,5,5,3,2,3,3,2,8,11,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
