제품,제품특성,ID,대분류,중분류,소분류,브랜드,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04
B002-01523-00001,"구성:본품 형태:액상형 :1개, 구성:본품 형태:젤형 :1개, 형태:액상형 구성:본품 용도:조리기구 용량:480ml :1개 3 in 1 클리너 500ml",5985,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-01523,0,0,0,0,0,0,0,0,11,7,9,12,10,11,6,6,2,6,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,0,0,0,0,0,0,1,4,4,4,4,2,3,4,4,4,4,4,4,8,8,7,5,4,3,0,0,0,0,0,1,3,4,4,2,4,4,5,3,2,1,2,3,4,4,3,3,1,1,2,1,1,2,1,1,1,0,1,0,0,1,3,3,3,3,2,1,1,1,1,1,2,4,4,5,2,2,3,5,5,3,0,2,2,4,5,6,6,4,3,3,2,3,4,4,4,3,3,2,2,2,2,2,3,3,4,4,5,6,5,5,4,4,4,5,3,3,5,5,5,4,0,1,3,3,5,4,6,4,3,1,1,1,1,1,3,3,4,4,4,3,4,3,3,1,1,0,3,4,6,6,4,3,3,3,4,3,3,2,2,3,3,2,2,2,3,4,4,4,5,5,7,4,4,4,5,4,2,2,2,2,1,1,1,1,1,1,1,0,0,1,0,2,2,2,1,3,4,4,3,2,2,3,4,4,3,3,3,3,4,1,1,1,1,2,1,1,2,2,4,4,3,1,1,2,5,4,3,0,0,1,1,0,2,3,3,2,2,3,3,4,4,3,2,2,4,4,4,4,4,4,3,7,4,4,0,0,0,1,3,3,3,1,1,1,4,4,4,2,2,1,1,2,2,4,2,0,0,3,3,5,4,4,1,2,2,3,4,2,2,2,2,4,4,4,4,3,4,2,0,0,0,1,2,2,2,5,5,8,8,8,8,7,6,12,13,13,12,10,10,5,6,8,6,4,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-00811-00011,"구성:본품 형태:정제형 :1개, 구성:본품 형태:액상형 용량:750ml(g) :1개, 구성:본품 형태:정제형 :1개, 구성:본품 형태:액상형 용량:750ml(g) :1개, 구성:본품 형태:스프레이형 용량:750ml(g) :1개, 구성:본품 형태:스프레이형 용량:500ml(g) :1개, 구성:본품 형태:액상형 :1개, 구성:본품 형태:정제형 용량:160ml(g) :1개, 구성:본품 형태:액상형 40g x 4입",3497,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-00811,19,8,15,26,40,55,57,51,24,0,0,0,0,0,0,0,0,0,42,38,37,21,21,16,17,15,18,16,10,5,3,3,3,9,19,16,16,10,13,11,16,7,7,5,7,12,13,14,15,13,10,10,5,5,3,14,7,15,13,12,4,10,14,12,8,10,20,16,5,0,4,7,3,2,3,6,7,8,5,8,6,6,6,8,21,11,7,3,0,0,1,2,3,4,5,3,6,7,8,13,11,11,16,22,17,16,13,13,11,15,15,18,18,15,7,5,10,9,22,28,26,21,28,31,28,19,19,27,23,37,42,39,29,16,22,16,23,21,29,22,22,16,12,13,20,44,38,57,46,48,27,23,16,24,30,30,17,25,26,38,31,20,16,16,11,9,10,13,12,12,5,5,6,9,10,9,11,12,14,18,18,22,19,17,15,14,14,12,11,37,31,21,28,34,39,33,25,59,60,53,33,35,41,41,40,38,36,31,31,25,23,22,21,22,29,31,37,32,34,24,20,16,25,27,28,22,25,22,23,21,18,26,39,44,39,35,38,34,22,21,22,21,20,26,23,27,24,20,26,23,23,20,13,13,9,12,17,24,23,27,22,21,20,29,27,30,17,15,6,13,13,15,16,16,9,8,8,14,13,20,25,16,11,10,14,27,33,30,24,21,16,13,11,12,7,7,5,8,11,12,12,9,13,14,14,14,23,28,31,23,19,17,10,17,13,22,18,21,16,17,15,12,14,16,15,19,21,8,19,18,18,12,14,8,11,15,14,17,11,13,19,24,22,21,13,15,13,21,24,18,28,28,37,37,37,35,35,28,18,20,20,36,37,41,29,26,23,29,29,40,45,35,17,18,25,44,53,40,33,23,18,14,26,32,22,12,11,16,16,19,48,48,65,35,39,37,48,40,19,19,38,43,47,51,40,35,39,41,36,31,39,45,35,32,34,19,38,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,2,37,22,36
B002-00811-00012,구성:본품 형태:정제형 :1개 60g x 3입,3498,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-00811,2,2,2,0,0,2,2,2,16,19,21,16,17,10,8,9,9,9,9,10,11,11,13,14,11,9,8,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,3,3,5,7,8,8,6,6,3,2,3,4,8,0,0,0,0,0,0,0,0,12,9,5,5,7,11,9,7,7,6,5,3,10,10,11,11,12,17,15,6,6,9,9,8,11,10,10,4,3,3,3,3,8,11,12,10,10,9,10,13,13,16,18,18,13,12,15,15,12,18,15,17,14,12,6,2,2,9,9,11,12,16,17,17,12,14,14,16,16,9,9,10,12,16,19,18,17,9,9,3,11,18,25,20,19,20,24,23,22,16,12,12,16,25,34,36,32,32,40,35,36,37,42,40,28,19,11,11,21,21,25,18,18,13,19,19,22,21,24,24,17,15,15,27,32,33,23,16,9,12,19,24,20,14,11,16,22,25,19,14,16,15,12,19,23,23,12,6,7,7,11,13,10,7,8,6,7,6,5,5,8,20,20,19,19,15,15,9,10,11,9,9,6,25,27,22,22,18,28,24,24,22,16,13,13,16,33,33,29,16,11,9,9,13,16,26,37,32,21,13,12,12,7,7,4,2,2,4,11,20,20,15,7,8,13,15,15,5,4,4,8,9,8,8,9,10,10,16,16,16,11,9,7,7,1,1,2,2,2,2,2,4,6,7,5,5,2,2,3,6,6,5,2,1,1,1,2,2,6,2,2,2,2,2,0,0,0,0,3,5,5,9,10,10,6,7,13,18,21,10,13,10,7,7,7,7,7,8,8,2,7,7,9,16,11,9,9,2,3,7,7,6,6,3,3,2,2,3,2,4,9,10,3,5,5,5,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,6,7,9,11,24
B002-00098-00001,"구성:본품 형태:액상형 :1개, 구성:본품 형태:액상형 :1개 24개",345,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,3,2,3,2,2,1,2,1,1,1,4,3,2,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-01399-00002,"구성:본품 형태:시트형, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개 12P입 핸들미포함",5628,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-01399,58,40,38,50,74,73,68,54,53,42,32,29,35,39,48,35,18,18,18,27,32,61,58,36,35,25,23,13,7,10,9,5,7,4,14,107,131,100,102,41,24,15,10,25,36,39,54,62,73,62,54,41,35,29,43,31,25,20,13,24,25,33,25,22,18,16,21,26,23,17,11,11,24,29,24,22,26,33,28,70,99,27,42,52,44,46,41,42,45,65,74,80,76,80,73,80,72,64,57,49,70,68,92,94,82,67,51,51,43,74,75,78,79,72,79,93,93,79,78,55,55,57,119,124,115,80,85,74,64,130,122,197,204,212,187,204,192,251,222,186,133,126,156,215,213,181,131,121,135,150,174,150,143,150,171,184,110,132,194,206,204,200,195,172,169,148,117,102,128,123,131,153,193,197,161,156,116,144,95,99,102,80,68,62,64,82,80,85,71,99,82,196,208,224,216,201,197,167,203,209,237,242,194,186,151,155,177,192,213,178,145,138,144,161,229,261,285,247,225,204,224,234,266,228,209,150,134,136,187,232,236,205,178,181,191,259,289,273,232,201,215,248,236,238,193,205,136,112,104,133,145,154,124,124,108,101,128,185,192,180,157,168,165,167,114,111,101,126,116,118,137,130,109,95,79,121,123,152,178,172,130,76,49,39,53,79,81,106,100,99,143,196,207,170,135,132,157,154,154,129,132,111,115,90,82,83,89,92,79,66,73,88,110,115,98,93,91,117,134,139,127,107,100,77,129,129,160,145,125,119,122,106,86,56,59,47,52,52,55,60,60,57,56,50,42,44,52,55,55,59,47,36,38,152,157,169,169,198,145,115,114,150,190,130,143,118,126,123,201,223,140,122,122,130,169,179,168,126,84,111,112,168,154,155,124,123,117,109,104,118,145,220,200,162,144,125,121,87,77,82,91,106,137,128,158,119,109,65,73,87,95,91,95,93,75,83,111,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18,10,9,37,23,11
B002-01399-00003,"구성:본품 형태:시트형, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 형태:시트형 :1개 1개 + 리필브러쉬 2팩",5629,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-01399,34,30,29,36,40,39,36,39,36,33,30,28,29,24,18,16,18,31,33,27,26,22,18,23,13,17,12,11,6,11,11,13,16,17,24,33,38,37,30,26,25,18,20,22,30,35,40,32,32,32,30,28,26,27,24,23,16,21,31,40,40,37,37,28,27,21,25,26,26,19,13,16,20,18,18,16,19,19,18,23,22,25,22,19,19,18,19,22,21,20,18,16,16,11,13,17,16,13,11,9,9,6,7,7,6,5,3,3,5,5,7,3,3,1,2,3,2,1,1,3,4,5,5,5,5,4,3,3,2,1,0,1,1,4,4,4,2,3,4,4,5,4,4,3,3,4,4,4,3,2,4,4,4,4,3,3,3,6,7,9,10,11,8,8,6,6,5,3,3,1,1,3,10,10,10,3,4,4,3,2,2,3,3,4,4,6,5,5,4,4,4,5,6,7,6,3,4,4,4,3,2,5,6,8,6,6,5,11,11,11,14,11,13,12,11,2,1,1,1,1,1,2,2,5,8,8,11,11,9,6,5,3,0,0,1,1,1,0,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,10,30,43,51,24,14,11,11,16,20,20,21,22,19,18,18,22,22,12,12,13,19,25,24,24,19,16,12,16,21,24,21,11,7,7,9,11,8,6,4,2,2,6,4,6,5,5,2,3,3,5,4,4,4,2,1,3,3,3,2,1,1,1,1,1,2,5,1,1,5,5,6,7,8,12,12,11,9,9,9,7,6,6,4,6,6,11,11,13,11,9,10,10,8,8,8,11,12,12,11,10,10,8,9,7,5,6,3,3,1,0,0,0,9,9,7,8,13,13,11,11,10,8,10,11,13,17,19,12,9,9,8,7,5,5,6,6,7,6,6,6,6,7,6,7,5,6,8,7,8,4,3,2,2,2,15,15,15,3,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1
B002-01399-00006,"구성:본품 형태:시트형, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 구성:본품+리필 형태:시트형 :1개, 형태:시트형 :1개 ",5632,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-01399,0,0,0,0,7,11,8,6,3,3,3,3,3,2,5,4,6,7,7,7,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3,3,2,2,4,4,5,8,11,10,5,3,5,5,11,7,7,8,4,8,5,8,4,4,13,12,13,10,9,6,0,0,0,1,1,4,4,3,2,1,1,1,1,1,5,8,9,6,7,8,8,3,6,6,1,1,1,2,2,2,1,1,1,2,2,3,4,4,3,3,2,2,4,5,4,3,3,5,4,3,4,7,7,18,15,13,5,6,16,15,15,7,3,4,5,6,7,7,7,7,6,6,8,8,6,6,8,4,9,9,11,7,5,7,12,14,13,14,17,7,5,15,15,14,17,10,16,15,15,13,11,10,7,19,18,22,12,14,12,12,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,2,6,12,14,17,13,12,13,14,13,13,26,23,3,3,4,3,1,24,56,60,43,11,12,11,9,9,7,5,4,4,12,14,13,6,7,7,13,10,10,6,4,4,3,5,11,20,81,77,68,8,6,7,8,13,14,16,13,16,104,84,85,9,20,17,13,1,84,85,4,4,12,11,11,7,7,12,8,8,11,12,16,9,11,11,18,101,101,104,157,68,14,14,18,20,16,16,8,7,8,14,14,9,5,7,8,3,2,2,1,2,4,4,1,4,4,6,2,3,5,10,30,30,21,21,1,6,9,15,9,5,7,7,10,10,7,7,13,12,6,15,14,20,20,28,27,26,4,5,5,6,8,4,4,10,10,9,10,6,6,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,5,0,8,16
B002-00722-00008,"구성:본품 형태:정제형 :1개, 구성:본품 형태:액상형 :1개, 구성:본품 형태:액상형 :1개 40g x 2개입",3037,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-00722,13,13,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,10,7,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,1,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,7,7,7,0,0,13,27,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,0,0,0,7,7,7,0,0,0,0,0,13,33,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002-00244-00008,"구성:본품 형태:정제형 용량:400ml(g) :1개, 구성:본품+리필 형태:시트형 :1개 40g x 10개",852,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-00244,1,1,0,1,2,3,2,2,1,1,2,2,5,5,5,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,0,1,1,1,1,5,5,6,6,6,6,5,4,4,4,3,3,2,2,2,2,2,2,2,1,1,0,2,2,3,3,3,4,6,5,3,2,2,1,1,1,2,3,3,2,2,2,3,2,2,1,0,1,2,3,4,7,7,7,7,6,6,8,7,6,6,7,8,8,6,6,5,5,4,3,61,61,56,41,33,35,41,48,36,36,37,37,49,48,46,44,48,46,40,33,38,41,35,32,27,29,30,39,49,157,146,146,47,47,47,47,38,199,202,202,34,59,71,82,79,67,70,359,359,357,97,91,285,274,118,118,135,133,118,110,105,105,115,141,143,143,123,104,101,104,113,95,92,71,71,72,110,116,116,98,73,61,61,243,257,99,97,86,95,95,96,115,108,144,128,114,81,101,370,398,408,162,144,140,622,640,638,174,148,122,102,118,152,148,144,132,132,142,152,168,150,122,113,99,105,105,120,120,115,86,78,88,94,92,78,62,52,44,52,81,711,755,759,147,123,137,157,157,135,113,96,76,81,92,107,129,118,66,60,65,65,75,70,62,54,43,35,36,44,56,80,82,78,220,250,272,120,104,134,112,106,56,80,70,72,56,56,52,138,160,166,80,63,56,55,201,220,225,76,41,41,43,50,134,134,150,154,76,68,71,73,75,58,58,62,63,101,101,104,117,76,76,79,74,71,51,46,42,42,380,402,85,74,74,60,73,73,119,119,119,57,58,51,51,46,53,94,102,56,55,33,41,41,43,42,38,38,38,42,50,42,47,39,41,42,51,51,36,36,34,30,32,46,208,380,376,379,219,63,56,52,42,44,49,37,34,34,42,43,39,38,40,40,88,90,88,48,50,44,54,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,8,30,27,64,63
B002-00244-00009,구성:본품+리필 형태:시트형 :1개 36개입,853,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,2,24,11,10,14,0,12,18,15,13,11,14,11,9,13,10,11,2,11,10,15,13,10,13,9,8,13,19,9,14,8,7,12,9,7,6,8,10,12,6,11,13,12,14,15,12,12,12,10,12,16,13,9,14,10,10,26,32,25,14,16,21,0,16,20,9,5,8,8,12,10,18,29,16,0,22,19,17,14,14,8,11,10,18,6,18,10,2,7,6,14,22,11,10,12,9,12,10,9,13,7,6,7,7,12,14,10,12,6,9,10,11,14,3,8,2,9,6,11,9,13,10,11,12,0,8,8,15,9,4,31,21,12,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
